m/z,with sulfur,without sulfur
25.6,5.15E-11,4.88E-11
25.7,1.04E-10,9.92E-11
25.8,1.42E-10,1.39E-10
25.9,1.50E-10,1.55E-10
26,1.55E-10,1.64E-10
26.1,1.43E-10,1.55E-10
26.2,1.23E-10,1.33E-10
26.3,4.88E-11,5.58E-11
26.4,4.69E-11,3.81E-11
26.5,9.13E-11,7.21E-11
26.6,2.20E-10,1.56E-10
26.7,4.22E-10,3.36E-10
26.8,5.64E-10,4.59E-10
26.9,6.04E-10,5.10E-10
27,6.17E-10,5.30E-10
27.1,5.91E-10,5.05E-10
27.2,5.30E-10,4.46E-10
27.3,2.58E-10,2.21E-10
27.4,5.09E-10,3.19E-10
27.5,9.69E-10,6.71E-10
27.6,2.43E-09,1.61E-09
27.7,4.07E-09,2.86E-09
27.8,5.06E-09,3.61E-09
27.9,5.31E-09,3.90E-09
28,5.18E-09,3.84E-09
28.1,4.69E-09,3.48E-09
28.2,3.25E-09,2.73E-09
28.3,4.39E-10,5.80E-10
28.4,5.07E-10,4.38E-10
28.5,9.24E-10,9.13E-10
28.6,2.33E-09,2.29E-09
28.7,4.05E-09,4.26E-09
28.8,5.04E-09,5.32E-09
28.9,5.33E-09,5.60E-09
29,5.18E-09,5.40E-09
29.1,4.75E-09,4.93E-09
29.2,3.52E-09,3.87E-09
29.3,4.44E-10,6.39E-10
29.4,2.33E-10,1.10E-10
29.5,4.83E-10,1.92E-10
29.6,1.13E-09,4.80E-10
29.7,2.00E-09,9.51E-10
29.8,2.52E-09,1.21E-09
29.9,2.70E-09,1.27E-09
30,2.70E-09,1.30E-09
30.1,2.49E-09,1.24E-09
30.2,1.98E-09,1.10E-09
30.3,3.61E-10,4.21E-10
30.4,1.89E-10,4.76E-10
30.5,3.73E-10,1.01E-09
30.6,8.63E-10,2.33E-09
30.7,1.50E-09,4.76E-09
30.8,1.98E-09,6.21E-09
30.9,2.10E-09,6.52E-09
31,2.14E-09,6.46E-09
31.1,2.03E-09,5.92E-09
31.2,1.77E-09,5.12E-09
31.3,5.94E-10,1.32E-09
31.4,7.03E-10,2.99E-10
31.5,1.32E-09,6.38E-10
31.6,3.15E-09,1.38E-09
31.7,4.98E-09,2.92E-09
31.8,5.93E-09,3.98E-09
31.9,6.10E-09,4.33E-09
32,5.88E-09,4.19E-09
32.1,5.41E-09,3.87E-09
32.2,3.24E-09,3.31E-09
32.3,4.27E-10,1.02E-09
32.4,3.57E-10,4.83E-11
32.5,6.77E-10,2.41E-11
32.6,1.64E-09,3.77E-11
32.7,2.48E-09,8.54E-11
32.8,3.00E-09,1.24E-10
32.9,3.16E-09,1.44E-10
33,3.08E-09,1.39E-10
33.1,2.84E-09,1.36E-10
33.2,1.89E-09,1.22E-10
33.3,4.43E-10,6.38E-11
33.4,8.63E-10,1.33E-11
33.5,1.59E-09,8.35E-12
33.6,4.03E-09,1.40E-11
33.7,6.43E-09,2.60E-11
33.8,7.68E-09,3.60E-11
33.9,8.02E-09,4.37E-11
34,7.70E-09,4.67E-11
34.1,7.05E-09,4.35E-11
34.2,4.71E-09,3.77E-11
34.3,3.66E-10,1.64E-11
34.4,1.13E-10,4.33E-12
34.5,1.91E-10,4.10E-12
34.6,4.89E-10,9.15E-12
34.7,7.61E-10,1.28E-11
34.8,8.99E-10,1.64E-11
34.9,9.43E-10,2.00E-11
35,9.16E-10,1.93E-11
35.1,8.59E-10,1.59E-11
35.2,5.80E-10,1.71E-11
35.3,2.10E-10,8.86E-12
35.4,4.36E-10,7.50E-12
35.5,8.43E-10,1.14E-11
35.6,2.00E-09,2.45E-11
35.7,3.10E-09,4.23E-11
35.8,3.66E-09,5.71E-11
35.9,3.87E-09,5.85E-11
36,3.70E-09,6.29E-11
36.1,3.30E-09,5.50E-11
36.2,2.04E-09,4.48E-11
36.3,1.64E-10,1.56E-11
36.4,3.27E-11,5.14E-12
36.5,4.29E-11,3.44E-12
36.6,1.03E-10,4.20E-12
36.7,1.65E-10,5.61E-12
36.8,2.08E-10,1.04E-11
36.9,2.23E-10,1.15E-11
37,2.17E-10,1.31E-11
37.1,2.11E-10,1.15E-11
37.2,1.50E-10,1.01E-11
37.3,6.87E-11,6.55E-12
37.4,1.24E-10,5.49E-12
37.5,2.43E-10,7.45E-12
37.6,6.11E-10,1.32E-11
37.7,9.42E-10,2.17E-11
37.8,1.10E-09,3.11E-11
37.9,1.15E-09,3.62E-11
38,1.10E-09,3.98E-11
38.1,1.02E-09,3.73E-11
38.2,6.65E-10,3.21E-11
38.3,7.21E-11,1.50E-11
38.4,1.07E-11,7.65E-12
38.5,8.75E-12,8.69E-12
38.6,1.53E-11,1.45E-11
38.7,2.93E-11,2.67E-11
38.8,3.92E-11,3.98E-11
38.9,4.78E-11,4.50E-11
39,4.90E-11,5.03E-11
39.1,4.86E-11,4.76E-11
39.2,4.03E-11,4.41E-11
39.3,2.03E-11,2.59E-11
39.4,6.69E-12,9.13E-12
39.5,6.95E-12,1.01E-11
39.6,1.30E-11,1.73E-11
39.7,2.74E-11,2.80E-11
39.8,3.49E-11,4.53E-11
39.9,4.19E-11,5.43E-11
40,4.58E-11,5.73E-11
40.1,4.23E-11,5.58E-11
40.2,3.78E-11,4.84E-11
40.3,2.11E-11,2.92E-11
40.4,9.62E-12,1.08E-11
40.5,1.35E-11,1.51E-11
40.6,2.64E-11,2.85E-11
40.7,6.14E-11,6.02E-11
40.8,8.65E-11,9.75E-11
40.9,1.04E-10,1.21E-10
41,1.12E-10,1.30E-10
41.1,1.06E-10,1.19E-10
41.2,9.79E-11,1.12E-10
41.3,5.37E-11,6.95E-11
41.4,2.18E-11,2.05E-11
41.5,3.26E-11,2.34E-11
41.6,6.65E-11,4.72E-11
41.7,1.32E-10,1.02E-10
41.8,1.84E-10,1.40E-10
41.9,2.20E-10,1.64E-10
42,2.33E-10,1.77E-10
42.1,2.12E-10,1.66E-10
42.2,1.95E-10,1.52E-10
42.3,9.68E-11,8.28E-11
42.4,4.25E-11,3.93E-11
42.5,6.94E-11,6.88E-11
42.6,1.57E-10,1.55E-10
42.7,3.00E-10,3.24E-10
42.8,4.30E-10,4.72E-10
42.9,5.08E-10,5.37E-10
43,5.47E-10,5.68E-10
43.1,5.43E-10,5.27E-10
43.2,5.71E-10,4.71E-10
43.3,4.78E-10,2.19E-10
43.4,8.67E-10,1.01E-10
43.5,1.67E-09,1.91E-10
43.6,4.21E-09,5.01E-10
43.7,6.86E-09,9.07E-10
43.8,8.59E-09,1.14E-09
43.9,9.39E-09,1.29E-09
44,9.33E-09,1.33E-09
44.1,8.24E-09,1.21E-09
44.2,6.22E-09,1.01E-09
44.3,8.80E-10,2.87E-10
44.4,1.36E-10,4.68E-11
44.5,2.36E-10,7.88E-11
44.6,6.21E-10,1.76E-10
44.7,1.06E-09,3.87E-10
44.8,1.37E-09,5.61E-10
44.9,1.54E-09,6.55E-10
45,1.61E-09,6.96E-10
45.1,1.45E-09,6.48E-10
45.2,1.17E-09,5.67E-10
45.3,3.39E-10,2.88E-10
45.4,5.48E-11,3.19E-11
45.5,7.32E-11,1.14E-11
45.6,1.75E-10,1.90E-11
45.7,3.11E-10,4.09E-11
45.8,4.29E-10,6.03E-11
45.9,4.97E-10,7.78E-11
46,5.03E-10,8.57E-11
46.1,4.56E-10,8.25E-11
46.2,3.71E-10,7.42E-11
46.3,1.21E-10,4.73E-11
46.4,6.46E-11,1.27E-11
46.5,1.20E-10,5.41E-12
46.6,3.16E-10,6.45E-12
46.7,5.63E-10,1.21E-11
46.8,7.35E-10,1.92E-11
46.9,8.15E-10,2.31E-11
47,8.47E-10,2.41E-11
47.1,7.68E-10,2.60E-11
47.2,6.32E-10,2.48E-11
47.3,1.64E-10,1.56E-11
47.4,5.28E-11,5.14E-12
47.5,9.09E-11,3.35E-12
47.6,2.26E-10,4.22E-12
47.7,4.38E-10,6.96E-12
47.8,5.89E-10,1.14E-11
47.9,6.49E-10,1.52E-11
48,6.92E-10,1.64E-11
48.1,6.22E-10,1.57E-11
48.2,5.22E-10,1.17E-11
48.3,1.48E-10,7.25E-12
48.4,1.65E-11,3.39E-12
48.5,9.66E-12,2.04E-12
48.6,1.86E-11,2.36E-12
48.7,3.49E-11,1.48E-12
48.8,4.88E-11,3.04E-12
48.9,5.99E-11,3.59E-12
49,6.83E-11,4.20E-12
49.1,6.38E-11,3.43E-12
49.2,5.80E-11,3.65E-12
49.3,2.72E-11,3.43E-12
49.4,6.21E-12,3.12E-12
49.5,4.65E-12,3.04E-12
49.6,1.12E-11,3.92E-12
49.7,1.92E-11,3.25E-12
49.8,2.71E-11,6.45E-12
49.9,3.03E-11,6.83E-12
50,3.45E-11,8.66E-12
50.1,3.44E-11,6.93E-12
50.2,2.95E-11,6.45E-12
50.3,1.59E-11,5.13E-12
50.4,4.23E-12,2.80E-12
50.5,2.70E-12,2.59E-12
50.6,3.96E-12,3.55E-12
50.7,5.76E-12,6.01E-12
50.8,8.12E-12,6.83E-12
50.9,1.08E-11,8.84E-12
51,1.00E-11,8.63E-12
51.1,1.16E-11,7.99E-12
51.2,9.64E-12,6.03E-12
51.3,6.04E-12,5.95E-12
51.4,2.20E-12,3.37E-12
51.5,1.41E-12,2.63E-12
51.6,1.46E-12,2.49E-12
51.7,3.03E-12,3.86E-12
