Wavenumber (1/cm),With sulfur,without sulfur
694.742,93.0124,96.233
695.224,93.0556,96.224
695.706,93.0985,96.2153
696.188,93.1414,96.2067
696.67,93.1846,96.1984
697.152,93.2286,96.1904
697.634,93.2734,96.183
698.117,93.3189,96.1759
698.599,93.3644,96.169
699.081,93.409,96.162
699.563,93.4517,96.1545
700.045,93.4919,96.1467
700.527,93.5293,96.1388
701.009,93.5642,96.1315
701.491,93.597,96.125
701.973,93.6283,96.1195
702.456,93.6585,96.115
702.938,93.6877,96.111
703.42,93.7155,96.1074
703.902,93.7418,96.1041
704.384,93.7663,96.1012
704.866,93.7894,96.0988
705.348,93.8112,96.0972
705.83,93.8322,96.0962
706.313,93.8527,96.0956
706.795,93.8727,96.0951
707.277,93.8922,96.0945
707.759,93.9108,96.0938
708.241,93.9284,96.093
708.723,93.9448,96.0924
709.205,93.96,96.0921
709.687,93.9741,96.092
710.17,93.9871,96.0919
710.652,93.9989,96.0918
711.134,94.0094,96.0916
711.616,94.0185,96.0917
712.098,94.0261,96.0924
712.58,94.0325,96.0942
713.062,94.0383,96.0971
713.544,94.0443,96.1009
714.027,94.0515,96.1051
714.509,94.0605,96.1091
714.991,94.0721,96.1128
715.473,94.0862,96.1159
715.955,94.1024,96.1189
716.437,94.1201,96.1223
716.919,94.1383,96.1265
717.401,94.1559,96.1318
717.883,94.1721,96.1378
718.366,94.1866,96.1443
718.848,94.1992,96.1509
719.33,94.2105,96.1573
719.812,94.221,96.1636
720.294,94.2312,96.1698
720.776,94.2415,96.176
721.258,94.252,96.182
721.74,94.2625,96.1877
722.223,94.2727,96.1928
722.705,94.2824,96.1972
723.187,94.292,96.2011
723.669,94.3019,96.2048
724.151,94.3131,96.2087
724.633,94.3264,96.2128
725.115,94.3424,96.217
725.597,94.3614,96.2211
726.08,94.3828,96.2245
726.562,94.4062,96.2271
727.044,94.4305,96.2289
727.526,94.4553,96.2302
728.008,94.4799,96.2312
728.49,94.5044,96.2322
728.972,94.5292,96.2332
729.455,94.5547,96.2337
729.937,94.5813,96.2336
730.419,94.6093,96.2325
730.901,94.6388,96.2305
731.383,94.6696,96.2279
731.865,94.7016,96.225
732.347,94.7342,96.2218
732.829,94.7673,96.2183
733.312,94.8008,96.2141
733.794,94.835,96.2091
734.276,94.8702,96.2028
734.758,94.9069,96.1955
735.24,94.9453,96.1876
735.722,94.9855,96.1794
736.204,95.0275,96.171
736.686,95.0706,96.1622
737.169,95.1141,96.1526
737.651,95.1575,96.1415
738.133,95.2003,96.1286
738.615,95.2423,96.1138
739.097,95.2837,96.0974
739.579,95.3245,96.0797
740.061,95.3649,96.0613
740.543,95.4048,96.0419
741.026,95.4443,96.0216
741.508,95.483,95.9998
